Glon,Glat,ra,dec,HIP,vmag,VarFlag,BTmag,VTmag,B-V
13.6046,-22.2575,295.598007,-26.443797999999997,96940,8.45,,10.242,8.595,1.3780000000000001
132.6721,-70.2962,16.159089,-7.674169999999999,5047,8.44,,9.083,8.507,0.5379999999999999
169.0855,8.4084,88.523251,42.57613,27889,8.44,,10.162,8.588,1.32
31.4884,-6.2603,287.784565,-4.129383,94253,8.44,,8.825,8.462,0.344
299.8573,-19.0363,172.969031,-81.429177,56256,8.44,,8.959,8.501,0.445
180.7095,42.6328,137.11785700000001,41.144906,44865,8.44,,10.440999999999999,8.624,1.56
322.1427,69.0352,199.673979,7.186549,64939,8.44,,9.207,8.508,0.63
96.241,25.1551,281.514142,66.002973,92084,8.44,,8.537,8.435,0.099
136.1158,57.4232,179.344023,58.29981,58303,8.44,,9.245,8.522,0.664
164.1288,38.2939,131.493176,53.916364,43016,8.43,,10.6,8.629,1.62
32.3403,6.3856,276.904052,2.383282,90467,8.43,,9.17,8.511000000000001,0.59
204.7956,67.3079,167.234827,27.987564000000003,54492,8.43,,8.926,8.465,0.435
204.2221,44.9576,142.524406,24.680566,46595,8.43,,9.736,8.54,1.024
111.0341,-76.4931,10.016305000000001,-13.884823,3151,8.43,,9.798,8.523,1.0859999999999999
166.2464,-8.7432,68.520229,34.800292,21291,8.43,,8.76,8.474,0.272
216.9702,36.8199,137.856332,12.891103999999999,45107,8.43,,9.981,8.567,1.2
359.2032,42.4391,230.794869,-3.267601,75309,8.43,,9.779,8.52,1.073
